rabbitmq-1-1  |
rabbitmq-1-1  | [38;5;160m2026-08-30 14:38:51.552447+00:00 [error] <0.1541.0> Server private detail: none[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.553755+00:00 [info] <0.1541.0> closing STOMP connection <0.1541.0> (192.168.80.3:41992 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.572293+00:00 [info] <0.1547.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.574557+00:00 [info] <0.1547.0> Accepted MQTT connection 192.168.80.3:51506 -> 192.168.80.3:1883 for client ID compat-31[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.574783+00:00 [info] <0.1547.0> MQTT detected network error for <<"192.168.80.3:51506 -> 192.168.80.3:1883">>: einval[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.575483+00:00 [info] <0.1549.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.576104+00:00 [info] <0.1549.0> Accepted MQTT connection 192.168.80.3:51520 -> 192.168.80.3:1883 for client ID compat-311[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.576237+00:00 [info] <0.1549.0> MQTT detected network error for <<"192.168.80.3:51520 -> 192.168.80.3:1883">>: einval[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.576746+00:00 [info] <0.1553.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.577093+00:00 [info] <0.1553.0> Accepted MQTT connection 192.168.80.3:51534 -> 192.168.80.3:1883 for client ID compat-50[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.577206+00:00 [info] <0.1553.0> MQTT connection <<"192.168.80.3:51534 -> 192.168.80.3:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.594862+00:00 [info] <0.1568.0> accepting STOMP connection <0.1568.0> (192.168.80.3:42006 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.597403+00:00 [info] <0.1572.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.615684+00:00 [info] <0.1568.0> closing STOMP connection <0.1568.0> (192.168.80.3:42006 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.616834+00:00 [info] <0.1590.0> accepting STOMP connection <0.1590.0> (192.168.80.3:42018 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.617887+00:00 [info] <0.1595.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.620077+00:00 [info] <0.1590.0> closing STOMP connection <0.1590.0> (192.168.80.3:42018 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.620414+00:00 [info] <0.1614.0> accepting STOMP connection <0.1614.0> (192.168.80.3:42022 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.620913+00:00 [info] <0.1618.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:38:51.623755+00:00 [info] <0.1614.0> closing STOMP connection <0.1614.0> (192.168.80.3:42022 -> 192.168.80.3:61613)[0m
rabbitmq-1-1  | 2026-08-30 14:38:59.873896+00:00 [info] <0.1723.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-1-1  | 2026-08-30 14:38:59.873896+00:00 [info] <0.1723.0>     rabbitmq_mqtt[0m
rabbitmq-1-1  | 2026-08-30 14:38:59.873896+00:00 [info] <0.1723.0> [0m
rabbitmq-1-1  | 2026-08-30 14:38:59.875348+00:00 [info] <0.1723.0> Stopping application 'rabbitmq_mqtt'[0m
rabbitmq-1-1  | 2026-08-30 14:38:59.876509+00:00 [info] <0.1325.0> stopped MQTT TCP listener on [::]:1883[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:38:59.913931+00:00 [notice] <0.45.0> Application rabbitmq_mqtt exited with reason: stopped[0m
rabbitmq-1-1  | 2026-08-30 14:38:59.950635+00:00 [info] <0.1723.0> Plugins changed; disabled [rabbitmq_mqtt][0m
rabbitmq-1-1  | 2026-08-30 14:39:10.039200+00:00 [info] <0.1813.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-1-1  | 2026-08-30 14:39:10.039200+00:00 [info] <0.1813.0>     rabbitmq_stomp[0m
rabbitmq-1-1  | 2026-08-30 14:39:10.039200+00:00 [info] <0.1813.0> [0m
rabbitmq-1-1  | 2026-08-30 14:39:10.039574+00:00 [info] <0.1813.0> Stopping application 'rabbitmq_stomp'[0m
rabbitmq-1-1  | 2026-08-30 14:39:10.042884+00:00 [info] <0.1277.0> stopped STOMP TCP listener on [::]:61613[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:39:10.077634+00:00 [notice] <0.45.0> Application rabbitmq_stomp exited with reason: stopped[0m
rabbitmq-1-1  | 2026-08-30 14:39:10.106006+00:00 [info] <0.1813.0> Plugins changed; disabled [rabbitmq_stomp][0m
rabbitmq-1-1  | 2026-08-30 14:39:20.098809+00:00 [info] <0.1902.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-1-1  | 2026-08-30 14:39:20.098809+00:00 [info] <0.1902.0>     rabbitmq_stream[0m
rabbitmq-1-1  | 2026-08-30 14:39:20.098809+00:00 [info] <0.1902.0>     rabbitmq_stream_common[0m
rabbitmq-1-1  | 2026-08-30 14:39:20.098809+00:00 [info] <0.1902.0> [0m
rabbitmq-1-1  | 2026-08-30 14:39:20.099191+00:00 [info] <0.1902.0> Stopping application 'rabbitmq_stream'[0m
rabbitmq-1-1  | 2026-08-30 14:39:20.100492+00:00 [info] <0.1299.0> stopped Stream TCP listener on [::]:5552[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:39:20.126617+00:00 [notice] <0.45.0> Application rabbitmq_stream exited with reason: stopped[0m
rabbitmq-1-1  | 2026-08-30 14:39:20.126866+00:00 [info] <0.1902.0> Stopping application 'rabbitmq_stream_common'[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:39:20.127072+00:00 [notice] <0.45.0> Application rabbitmq_stream_common exited with reason: stopped[0m
rabbitmq-1-1  | 2026-08-30 14:39:20.172672+00:00 [info] <0.1902.0> Plugins changed; disabled [rabbitmq_stream,rabbitmq_stream_common][0m
rabbitmq-1-1  | 2026-08-30 14:40:21.757582+00:00 [info] <0.1980.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:40:32.476741+00:00 [info] <0.2048.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:40:38.454482+00:00 [info] <0.2109.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:40:42.934842+00:00 [info] <0.2168.0> User 'atlas' authenticated successfully[0m
